script_name,trade_base,price_in,quantity_in,quantity_left,date_in,amount_in,balance_left,date_out,price_out,P/L (INR),P/L in %,days_taken
AMRUTANJAN,ML-5,615.3,25.0,0.0,2024-01-01,15382.499999999998,0.0,2024-02-23,673.758,1461.450000000002,9.500731350560716,53
RAJESHEXPO,ML-5,377.4,30.0,0.0,2024-01-01,11322.0,0.0,,,,0.0,0
SCPL,ML-5,366.47,30.0,0.0,2024-01-03,10994.1,0.0,2024-02-21,453.45,2609.3999999999987,23.734548530575477,49
KHANDSE,ML-5,26.5,200.0,0.0,2024-01-03,5300.0,0.0,2024-01-15,30.2,739.9999999999999,13.962264150943394,12
TTKPRESTIG,ML-5,755.0,20.0,0.0,2024-01-08,15100.0,0.0,2024-06-28,789.45,689.0000000000009,4.562913907284774,172
COSMOFIRST,ML-5,644.0,20.0,0.0,2024-01-10,12880.0,0.0,2024-06-18,690.8,935.9999999999991,7.267080745341607,160
CERA,W-5,7969.1,2.0,0.0,2024-01-12,15938.2,0.0,2024-06-21,8756.85,1575.5,9.88505602891167,161
ZUARI,BTS,230.9,50.0,50.0,2024-01-12,11545.0,11545.0,,,,0.0,0
HIKAL,ML-5,296.0,80.0,0.0,2024-01-15,23680.0,0.0,2024-04-26,310.5,1160.0,4.898648648648648,102
GVPTECH,ML-5,13.6,500.0,0.0,2024-01-17,6800.0,0.0,2024-06-06,15.9,1150.0000000000005,16.91176470588236,141
IEX,,141.3,100.0,0.0,2024-01-19,14130.000000000002,0.0,2024-04-25,159.1,1779.9999999999982,12.597310686482649,97
Nuvoco,W-5,353.25,30.0,30.0,2024-01-29,10597.5,10597.5,,,,0.0,0
SRF,W-5,2308.75,5.0,0.0,2024-01-31,11543.75,0.0,2024-04-26,2638.55,1649.000000000001,14.284786139685984,86
HTMEDIA,,32.9,200.0,200.0,2024-02-01,6580.0,6580.0,,,,0.0,0
SBI CARD,W-5,719.0,20.0,0.0,2024-02-01,14380.0,0.0,2024-09-06,798.1,1582.0000000000005,11.001390820584147,218
Luxind,ML-5,1235.98,8.0,0.0,2024-02-02,9887.84,0.0,2024-04-26,1383.3,1178.5599999999995,11.919286719849831,84
Dwarkesh,ML-5,84.66,120.0,120.0,2024-02-02,10159.199999999999,10159.199999999999,,,,0.0,0
Paytm,,487.2,10.0,0.0,2024-02-02,4872.0,0.0,2024-07-08,450.52,-366.80000000000007,-7.52873563218391,157
DBOL,W-5,147.3,80.0,0.0,2024-02-05,11784.0,0.0,2024-09-27,161.1,1103.9999999999986,9.368635437881862,235
Ugarsugar,ML-5,86.51,100.0,100.0,2024-02-07,8651.0,8651.0,,,,0.0,0
DEVYANI,ML-5,152.47,55.0,55.0,2024-02-09,8385.85,8385.85,,,,0.0,0
BAJAJHIND,BTS,39.55,100.0,100.0,2024-02-12,3954.9999999999995,3954.9999999999995,,,,0.0,0
RAJRILTD-T,ML-5,22.68,200.0,0.0,2024-02-14,4536.0,0.0,2024-02-27,27.09,882.0,19.444444444444446,13
JUBLFOOD,ML-5,466.0,10.0,0.0,2024-02-14,4660.0,0.0,2024-05-30,517.65,516.4999999999998,11.08369098712446,106
Paytm,,345.2,8.0,0.0,2024-02-14,2761.6,0.0,2024-07-08,450.52,842.56,30.509849362688296,145
Paytm,,332.85,2.0,0.0,2024-02-15,665.7,0.0,2024-07-08,450.52,235.33999999999992,35.35226077812827,144
ATUL,ML-5,6183.05,2.0,0.0,2024-03-04,12366.1,0.0,2024-07-05,6666.07,966.039999999999,7.812002167215201,123
RAJRATAN,ML-5,659.0,30.0,30.0,2024-03-04,19770.0,19770.0,,,,0.0,0
LXCHEM,ML-5,230.6,20.0,0.0,2024-03-19,4612.0,0.0,2024-09-03,291.35,1215.0000000000005,26.34431916738943,168
BCG,ML-5,15.05,100.0,100.0,2024-03-20,1505.0,1505.0,,,,0.0,0
DPSCLTD,ML-5,15.15,600.0,0.0,2024-03-21,9090.0,0.0,2024-05-16,17.9,1649.9999999999989,18.15181518151814,56
GREAVESCOT,ML-5,132.35,100.0,0.0,2024-04-02,13235.0,0.0,2024-05-16,133.5,115.00000000000057,0.868908197959959,44
DEEPAKFERT,ML-5,551.85,30.0,0.0,2024-04-03,16555.5,0.0,2024-04-29,739.6,5632.5,34.02192624807466,26
